hand,regime,true_archetype,map_estimate,correct,confidence,posterior_true,lambda_applied,window_chips_per_100,repeat
2620,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,30.0,1
2640,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,40.0,1
2660,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-80.0,1
2680,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,85.0,1
2700,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,30.0,1
2720,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,30.0,1
2740,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-95.0,1
2760,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,60.0,1
2780,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-100.0,1
2800,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,5.0,1
